122	280	0	8	16	z
121	272	0	8	16	
120	264	0	8	16	
119	256	0	8	16	
118	248	0	8	16	
117	240	0	8	16	
116	232	0	8	16	
115	224	0	8	16	
114	216	0	8	16	
113	208	0	8	16	
112	200	0	8	16	
111	192	0	8	16	
110	184	0	8	16	
109	176	0	8	16	
108	168	0	8	16	
107	160	0	8	16	
106	152	0	8	16	
105	144	0	8	16	
104	136	0	8	16	
103	128	0	8	16	
102	120	0	8	16	
101	112	0	8	16	
100	104	0	8	16	d
99	96	0	8	16	
98	88	0	8	16	
97	80	0	8	16	a
48	0	0	8	16	0
49	8	0	8	16	
50	16	0	8	16	
51	24	0	8	16	
52	32	0	8	16	
53	40	0	8	16	
54	48	0	8	16	
55	56	0	8	16	
56	64	0	8	16	
57	72	0	8	16	9
32	288	0	8	16	[Space]
33	56	16	8	16	!
34	16	16	8	16
44	8	16	8	16	,
45	48	16	8	16	-
46	0	16	8	16	.
47	288	0	8	16	/
58	0	32	8	16	:
63	72	16	8	16	?
273	80	16	8	16	UP KEY
274	88	16	8	16	DOWN KEY
275	96	16	8	16	RIGHT KEY
276	104	16	8	16	LEFT KEY
13	112	16	8	16	[enter]
27	120	16	16	16	[esc]
281	136	16	16	16	[SDLK_PAGEDOWN]
280	152	16	16	16	[SDLK_PAGEUP]
